date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2014-01-13,8.02,8.02,7.9,7.87,35583.67,-0.1,-1.25,7.974,8.111,8.063,93066.02,124725.41,111460.2,0.26,0
2014-01-14,7.9,8.03,7.95,7.9,36010.79,0.05,0.63,7.962,8.076,8.047,90977.65,105022.08,106625.69,0.26,0
2014-01-15,7.96,8.0,7.83,7.8,57474.6,-0.12,-1.51,7.928,8.017,8.035,86345.25,84264.13,101156.11,0.42,0
2014-01-16,7.81,8.02,7.96,7.81,58360.84,0.13,1.66,7.928,7.982,8.032,60628.53,81610.73,100904.05,0.42,0
2014-01-17,7.91,7.96,7.87,7.74,128429.67,-0.09,-1.13,7.902,7.942,8.025,63171.91,84250.05,103879.76,0.93,0
2014-01-20,7.91,8.01,7.86,7.82,39210.93,-0.01,-0.13,7.894,7.934,8.017,63897.37,78481.69,101112.51,0.29,0
2014-01-21,7.84,7.96,7.89,7.8,52714.31,0.03,0.38,7.882,7.922,8.011,67238.07,79107.86,99965.18,0.38,0
2014-01-22,7.89,8.17,8.14,7.77,180551.95,0.25,3.17,7.944,7.936,8.018,91853.54,89099.39,103981.04,1.31,0
2014-01-23,8.1,8.21,8.13,7.98,226363.05,-0.01,-0.12,7.978,7.953,8.027,125453.98,93041.25,110575.74,1.65,0
2014-01-24,8.08,8.53,8.4,8.08,180738.22,0.27,3.32,8.084,7.993,8.055,135915.69,99543.8,115294.94,1.13,0
2014-01-27,8.3,8.5,8.33,8.25,240960.56,-0.07,-0.83,8.178,8.036,8.074,176265.62,120081.49,122403.45,1.5,0
2014-01-28,8.33,8.35,8.13,8.04,130719.3,-0.2,-2.4,8.226,8.054,8.065,191866.62,129552.34,117287.21,0.81,0
2014-01-29,8.14,8.29,8.19,8.13,80826.22,0.06,0.74,8.236,8.09,8.054,171921.47,131887.51,108075.82,0.5,0
2014-01-30,8.19,8.27,8.16,8.12,55769.87,-0.03,-0.37,8.242,8.11,8.046,137802.83,131628.41,106619.57,0.35,0
2014-02-07,8.17,8.63,8.55,8.15,146277.69,0.39,4.78,8.272,8.178,8.06,130910.73,133413.21,108831.63,0.91,0
2014-02-10,8.56,9.0,8.78,8.43,373741.81,0.23,2.69,8.362,8.27,8.102,157466.98,166866.3,122674.0,2.33,0
2014-02-11,8.78,8.88,8.72,8.69,213240.77,-0.06,-0.68,8.48,8.353,8.138,173971.27,182918.94,131013.4,1.33,0
2014-02-12,8.72,8.82,8.8,8.62,200578.69,0.08,0.92,8.602,8.419,8.178,197921.77,184921.62,137010.51,1.25,0
2014-02-13,8.79,8.79,8.38,8.37,358696.09,-0.42,-4.77,8.646,8.444,8.199,258507.01,198154.92,145598.09,2.23,0
2014-02-14,8.37,8.44,8.43,8.23,117064.79,0.05,0.6,8.622,8.447,8.22,252664.43,191787.58,145665.69,0.73,0
2014-02-17,8.44,8.54,8.46,8.37,136095.97,0.03,0.36,8.558,8.46,8.248,205135.26,181301.12,150691.31,0.85,0
2014-02-18,8.48,8.64,8.51,8.45,163008.73,0.05,0.59,8.516,8.498,8.276,195088.85,184530.06,157041.2,1.02,0
2014-02-19,8.5,8.51,8.38,8.33,136561.8,-0.13,-1.53,8.432,8.517,8.304,182285.48,190103.62,160995.56,0.85,0
2014-02-20,8.4,8.53,8.4,8.22,183768.34,0.02,0.24,8.436,8.541,8.326,147299.93,202903.47,167265.94,1.14,0
